Risk Factor,Assigned To,Data Source,API/Excel Download Link
Malnutrition (wght-for-age z<-2),Brayden,UNICEF MICS,"https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,GLOBAL_DATAFLOW,1.0/.NT_ANT_WAZ_NE2.?format=sdmx-json"
Malnutrition (wght-for-age z<-2),Brayden,WORLD BANK,"https://search.worldbank.org/api/v3/wds?format=json&url=https://databank.worldbank.org/id/5efd1eba"
Malnutrition (wght-for-age z<-2),Brayden,DHS,"https://api.dhsprogram.com/rest/dhs/data?breakdown=all&indicatorIds=CN_NUTS_C_WA2&lang=en&f=json"
Malnutrition (wght-for-age z<-2),Brayden,WHO,"apps.who.int/gho/athena/api/GHO/NUTUNDERWEIGHTNUM?format=csv"
Malnutrition (wght-for-age z<-2),Brayden,Other,""
Low birth weight (=<2500 g),Pili ,UNICEF MICS,"https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,GLOBAL_DATAFLOW,1.0/.NT_BW_LBW?format=sdmx-json"
Low birth weight (=<2500 g),Pili ,WORLD BANK,"https://search.worldbank.org/api/v3/wds?format=json&url=https://databank.worldbank.org/id/2b12266d"
Low birth weight (=<2500 g),Pili ,DHS,"https://api.dhsprogram.com/rest/dhs/data/CH_SZWT_C_L25?f=json"
Low birth weight (=<2500 g),Pili ,WHO,"https://apps.who.int/gho/athena/api/GHO/LBW_PREVALENCE?format=csv"
Low birth weight (=<2500 g),Pili ,Other,""
Non-breastfed exclus. (4 mths),Fan,UNICEF MICS,""
Non-breastfed exclus. (4 mths),Fan,WORLD BANK,"https://search.worldbank.org/api/v3/wds?format=json&url=https://databank.worldbank.org/id/981dff74"
Non-breastfed exclus. (4 mths),Fan,DHS,"https://api.dhsprogram.com/rest/dhs/data?breakdown=all&indicatorIds=CN_IYCB_C_PBF&lang=en&f=json"
Non-breastfed exclus. (4 mths),Fan,WHO,"apps.who.int/gho/athena/api/GHO/NT_BF_EXBF?format=json"
Non-breastfed exclus. (4 mths),Fan,Other,""
Use solid fuels (yes),Harvey,UNICEF MICS,""
Use solid fuels (yes),Harvey,WORLD BANK,"https://api.worldbank.org/v2/en/indicator/EG.CFT.ACCS.ZS?downloadformat=json"
Use solid fuels (yes),Harvey,DHS,"https://api.dhsprogram.com/rest/dhs/data?breakdown=all&indicatorIds=HC_CKTC_H_CFT&lang=en&f=json"
Use solid fuels (yes),Harvey,WHO,"https://ghoapi.azureedge.net/api/WHS5_512"
Use solid fuels (yes),Harvey,Other,""
Crowding (5 or more persons),Yuquan Chen,UNICEF MICS,"https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,GLOBAL_DATAFLOW,1.0/.DM_OVERCR5.?format=sdmx-json"
Crowding (5 or more persons),Yuquan Chen,WORLD BANK,"https://international.ipums.org/international/sda.shtml#single"
Crowding (5 or more persons),Yuquan Chen,DHS,"https://api.dhsprogram.com/rest/dhs/data?breakdown=all&indicatorIds=HC_PPRM_H_56P,HC_PPRM_H_7PP&lang=en&f=json"
Crowding (5 or more persons),Yuquan Chen,WHO,"N/A"
Crowding (5 or more persons),Yuquan Chen,Other,"" 

