risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),Albania,2008,19.3,,,DHS
Malnutrition (wght-for-age z<-2),Albania,2017,11.3,,,DHS
Malnutrition (wght-for-age z<-2),Armenia,2005,17.9,,,DHS
Malnutrition (wght-for-age z<-2),Armenia,2010,19.3,,,DHS
Malnutrition (wght-for-age z<-2),Armenia,2016,9.4,,,DHS
Malnutrition (wght-for-age z<-2),Angola,2015,37.6,,,DHS
Malnutrition (wght-for-age z<-2),Azerbaijan,2006,25.1,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,1997,60.1,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2000,51.1,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2004,50.6,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2007,43.2,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2011,41.3,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2014,36.1,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2017,30.8,,,DHS
Malnutrition (wght-for-age z<-2),Bangladesh,2022,23.6,,,DHS
Malnutrition (wght-for-age z<-2),Burkina Faso,1993,38.8,,,DHS
Malnutrition (wght-for-age z<-2),Burkina Faso,1999,41.4,,,DHS
Malnutrition (wght-for-age z<-2),Burkina Faso,2003,43.4,,,DHS
Malnutrition (wght-for-age z<-2),Burkina Faso,2010,34.6,,,DHS
Malnutrition (wght-for-age z<-2),Burkina Faso,2021,22.6,,,DHS
Malnutrition (wght-for-age z<-2),Benin,1996,32.5,,,DHS
Malnutrition (wght-for-age z<-2),Benin,2001,36.2,,,DHS
Malnutrition (wght-for-age z<-2),Benin,2006,43.1,,,DHS
Malnutrition (wght-for-age z<-2),Benin,2017,32.2,,,DHS
Malnutrition (wght-for-age z<-2),Bolivia,1994,34.2,,,DHS
Malnutrition (wght-for-age z<-2),Bolivia,1998,32.7,,,DHS
Malnutrition (wght-for-age z<-2),Bolivia,2003,32.3,,,DHS
Malnutrition (wght-for-age z<-2),Bolivia,2008,27.1,,,DHS
Malnutrition (wght-for-age z<-2),Brazil,1996,12.9,,,DHS
Malnutrition (wght-for-age z<-2),Burundi,2010,57.7,,,DHS
Malnutrition (wght-for-age z<-2),Burundi,2016,55.9,,,DHS
Malnutrition (wght-for-age z<-2),Congo Democratic Republic,2007,45.5,,,DHS
Malnutrition (wght-for-age z<-2),Congo Democratic Republic,2013,42.7,,,DHS
Malnutrition (wght-for-age z<-2),Central African Republic,1994,39.1,,,DHS
Malnutrition (wght-for-age z<-2),Congo,2005,30.8,,,DHS
Malnutrition (wght-for-age z<-2),Congo,2011,24.4,,,DHS
Malnutrition (wght-for-age z<-2),Cote d'Ivoire,1994,30.7,,,DHS
Malnutrition (wght-for-age z<-2),Cote d'Ivoire,1998,31.0,,,DHS
