risk_factor,country,year,value,confidence_intervals,sample_size,source
Malnutrition (wght-for-age z<-2),COK,2013,28.0,,,WHO
Malnutrition (wght-for-age z<-2),151,2003,26.5,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2019,39.8,,,WHO
Malnutrition (wght-for-age z<-2),UZB,2008,36.0,,,WHO
Malnutrition (wght-for-age z<-2),PNG,2015,24.0,,,WHO
Malnutrition (wght-for-age z<-2),IRL,2007,2.2,,,WHO
Malnutrition (wght-for-age z<-2),CHL,2019,14.5,,,WHO
Malnutrition (wght-for-age z<-2),SLB,2004,26.9,,,WHO
Malnutrition (wght-for-age z<-2),LUX,2002,9.5,,,WHO
Malnutrition (wght-for-age z<-2),GIN,2019,3.9,,,WHO
Malnutrition (wght-for-age z<-2),NPL,2003,56.3,,,WHO
Malnutrition (wght-for-age z<-2),CPV,2017,26.1,,,WHO
Malnutrition (wght-for-age z<-2),SLE,2018,26.7,,,WHO
Malnutrition (wght-for-age z<-2),CHL,2018,19.7,,,WHO
Malnutrition (wght-for-age z<-2),ATG,2017,13.3,,,WHO
Malnutrition (wght-for-age z<-2),JPN,2005,12.1,,,WHO
Malnutrition (wght-for-age z<-2),TGO,2004,76.7,,,WHO
Malnutrition (wght-for-age z<-2),PNG,2018,47.0,,,WHO
Malnutrition (wght-for-age z<-2),PNG,2008,50.0,,,WHO
Malnutrition (wght-for-age z<-2),URY,2015,18.3,,,WHO
Malnutrition (wght-for-age z<-2),TJK,2016,0.5,,,WHO
Malnutrition (wght-for-age z<-2),PRY,2007,12.4,,,WHO
Malnutrition (wght-for-age z<-2),AFR,2004,39.7,,,WHO
Malnutrition (wght-for-age z<-2),SDN,2010,23.6,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2013,22.5,,,WHO
Malnutrition (wght-for-age z<-2),UGA,2008,35.7,,,WHO
Malnutrition (wght-for-age z<-2),MNE,2000,15.1,,,WHO
Malnutrition (wght-for-age z<-2),NAM,2015,47.0,,,WHO
Malnutrition (wght-for-age z<-2),MLI,2002,18.4,,,WHO
Malnutrition (wght-for-age z<-2),NPL,2019,19.7,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2016,8.4,,,WHO
Malnutrition (wght-for-age z<-2),GLOBAL,2018,1.3,,,WHO
Malnutrition (wght-for-age z<-2),LBY,2009,28.1,,,WHO
Malnutrition (wght-for-age z<-2),MLI,2006,82.3,,,WHO
Malnutrition (wght-for-age z<-2),NIC,2012,13.0,,,WHO
Malnutrition (wght-for-age z<-2),TZA,2005,26.0,,,WHO
Malnutrition (wght-for-age z<-2),TON,2012,34.0,,,WHO
Malnutrition (wght-for-age z<-2),MDV,2019,37.8,,,WHO
Malnutrition (wght-for-age z<-2),NLD,2007,12.4,,,WHO
Malnutrition (wght-for-age z<-2),PER,2018,30.5,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2017,12.9,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2007,45.6,,,WHO
Malnutrition (wght-for-age z<-2),BFA,2001,88.3,,,WHO
Malnutrition (wght-for-age z<-2),BRA,2006,21.4,,,WHO
Malnutrition (wght-for-age z<-2),GMB,2018,2.0,,,WHO
Malnutrition (wght-for-age z<-2),NLD,2017,11.9,,,WHO
Malnutrition (wght-for-age z<-2),VNM,2014,21.2,,,WHO
Malnutrition (wght-for-age z<-2),ITA,2006,2.3,,,WHO
Malnutrition (wght-for-age z<-2),LCA,2014,21.8,,,WHO
Malnutrition (wght-for-age z<-2),PRY,2018,18.9,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2009,14.4,,,WHO
Malnutrition (wght-for-age z<-2),PSE,2010,0.3,,,WHO
Malnutrition (wght-for-age z<-2),RWA,2003,54.5,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2016,71.9,,,WHO
Malnutrition (wght-for-age z<-2),YEM,2013,79.9,,,WHO
Malnutrition (wght-for-age z<-2),FSM,2015,37.3,,,WHO
Malnutrition (wght-for-age z<-2),SUR,2004,11.8,,,WHO
Malnutrition (wght-for-age z<-2),BEN,2002,49.5,,,WHO
Malnutrition (wght-for-age z<-2),VUT,2010,34.1,,,WHO
Malnutrition (wght-for-age z<-2),GAB,2002,67.4,,,WHO
Malnutrition (wght-for-age z<-2),VCT,2015,0.3,,,WHO
Malnutrition (wght-for-age z<-2),NOR,2005,9.5,,,WHO
Malnutrition (wght-for-age z<-2),TLS,2000,51.3,,,WHO
Malnutrition (wght-for-age z<-2),NOR,2013,9.9,,,WHO
Malnutrition (wght-for-age z<-2),CAF,2000,82.0,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2012,0.0,,,WHO
Malnutrition (wght-for-age z<-2),ZAF,2005,40.8,,,WHO
Malnutrition (wght-for-age z<-2),432,2019,51.4,,,WHO
Malnutrition (wght-for-age z<-2),PAK,2009,4.0,,,WHO
Malnutrition (wght-for-age z<-2),LAO,2007,44.7,,,WHO
Malnutrition (wght-for-age z<-2),ESP,2010,2.3,,,WHO
Malnutrition (wght-for-age z<-2),UKR,2016,0.1,,,WHO
Malnutrition (wght-for-age z<-2),JOR,2007,30.9,,,WHO
Malnutrition (wght-for-age z<-2),AFR,2014,3.3,,,WHO
Malnutrition (wght-for-age z<-2),EMR,2018,18.9,,,WHO
Malnutrition (wght-for-age z<-2),KWT,2003,0.2,,,WHO
Malnutrition (wght-for-age z<-2),PRY,2011,30.8,,,WHO
Malnutrition (wght-for-age z<-2),BIH,2010,23.6,,,WHO
Malnutrition (wght-for-age z<-2),SEAR,2003,3.0,,,WHO
Malnutrition (wght-for-age z<-2),5,2003,27.6,,,WHO
Malnutrition (wght-for-age z<-2),LBY,2011,18.4,,,WHO
Malnutrition (wght-for-age z<-2),CRI,2002,14.6,,,WHO
Malnutrition (wght-for-age z<-2),BGR,2011,7.7,,,WHO
Malnutrition (wght-for-age z<-2),COL,2013,0.3,,,WHO
Malnutrition (wght-for-age z<-2),MLI,2003,10.8,,,WHO
Malnutrition (wght-for-age z<-2),SVK,2008,21.7,,,WHO
Malnutrition (wght-for-age z<-2),SWE,2019,0.0,,,WHO
Malnutrition (wght-for-age z<-2),BTN,2000,39.0,,,WHO
Malnutrition (wght-for-age z<-2),39,2019,16.1,,,WHO
Malnutrition (wght-for-age z<-2),LAO,2003,25.4,,,WHO
Malnutrition (wght-for-age z<-2),USA,2006,0.6,,,WHO
Malnutrition (wght-for-age z<-2),LVA,2014,4.8,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2013,0.0,,,WHO
Malnutrition (wght-for-age z<-2),IRN,2009,10.4,,,WHO
Malnutrition (wght-for-age z<-2),LBN,2002,24.6,,,WHO
Malnutrition (wght-for-age z<-2),STP,2014,30.7,,,WHO
Malnutrition (wght-for-age z<-2),SGP,2005,0.0,,,WHO
Malnutrition (wght-for-age z<-2),MMR,2001,2.3,,,WHO
Malnutrition (wght-for-age z<-2),BTN,2018,45.2,,,WHO
Malnutrition (wght-for-age z<-2),MCO,2009,0.0,,,WHO
Malnutrition (wght-for-age z<-2),VEN,2007,8.8,,,WHO
Malnutrition (wght-for-age z<-2),KGZ,2014,20.2,,,WHO
Malnutrition (wght-for-age z<-2),QAT,2010,0.1,,,WHO
Malnutrition (wght-for-age z<-2),UKR,2008,0.2,,,WHO
Malnutrition (wght-for-age z<-2),BHS,2005,19.9,,,WHO
Malnutrition (wght-for-age z<-2),ERI,2019,48.8,,,WHO
Malnutrition (wght-for-age z<-2),MYS,2012,0.1,,,WHO
Malnutrition (wght-for-age z<-2),ZMB,2012,54.0,,,WHO
