country,Exclusive breastfeeding under 6 months (%),Low birth weight (≤2500g),Malnutrition (weight-for-age < -2 SD),Population ages 0-4 (number),Solid fuel use (%),Under-5 mortality rate (per 1000),Wasting prevalence (children under 5)
Afghanistan,57.5,,18.4,3400600.0,,55.5,2.3
Africa Eastern and Southern,,14.2828676525461,,,18.71,53.8062516481712,
Africa Western and Central,,,,,1.81846465553293,88.7263351835126,
Albania,36.54,5.992350456,1.5,75218.0,36.81,9.4,1.9
Algeria,28.63,7.197213007,2.7,2425767.0,0.09,22.0,2.7
American Samoa,,,,3854.0,,,
Andorra,,9.394871191,,1260.0,,2.6,
Angola,37.38,15.52779066,19.0,3133180.0,6.55,64.0,5.7
Anguilla,,,,349.0,,,
Antigua and Barbuda,,15.35550278,,2741.0,,9.3,
Arab World,,,,,1.518380994093,31.7791999547012,
Argentina,31.95,7.361601633,2.0,2750630.0,8.9,9.6,1.7
Armenia,44.49,8.272253773,2.6,91519.0,24.25,10.0,5.8
Aruba,,,,2696.0,,,
Australia,,6.553680899,0.5,1526420.0,6.26,3.7,0.2
Australia New Zealand,,,,1824490.0,,,
Austria,,6.305404111,,218412.0,16.37,3.1,
Azerbaijan,12.1,11.03530631,3.0,356717.0,0.93,18.6,1.3
Bahamas,,,,11049.0,,,
"Bahamas, The",,15.39718187,,,,12.7,
Bahrain,,12.44146062,7.6,48202.0,0.03,8.6,6.6
Bangladesh,62.6,23.04670249,21.7,8451171.0,0.28,30.6,11.0
Barbados,19.7,,3.5,8025.0,,10.0,6.8
Belarus,21.7,5.122986416,1.3,205280.0,7.01,2.4,1.3
Belgium,,6.756188073,0.3,297688.0,22.31,3.6,0.8
Belize,33.16,11.5589646,4.6,35738.0,,12.7,1.5
Benin,41.4,16.44582801,19.6,1103867.0,0.05,77.9,6.8
Bermuda,,,,2723.0,,,
Bhutan,53.16,11.43096562,8.7,24682.0,,23.1,4.8
Bolivia,55.66,7.933435546,3.4,1250929.0,3.25,23.1,2.9
"Bonaire, Saint Eustatius and Saba",,,,785.0,,,
Bosnia and Herzegovina,18.19,5.154733974,1.6,67371.0,9.15,6.0,0.9
Botswana,29.99,16.83437991,11.8,147994.0,0.08,39.6,10.0
Brazil,38.6,8.698070886,3.5,13360849.0,17.29,14.4,3.1
British Virgin Islands,,,,833.0,,12.7,
Brunei Darussalam,,13.64151602,9.7,16309.000000000002,0.01,9.4,2.9
Bulgaria,,11.36161178,1.7,158293.0,29.77,6.1,5.9
Burkina Faso,57.89,18.46865415,16.9,1702177.0,0.18,77.3,12.9
Burundi,71.9,14.77690155,28.3,1092381.0,,49.2,7.8
Cabo Verde,59.6,,2.2,20057.0,,11.6,0.1
Cambodia,65.21,11.44900477,16.3,929096.0,6.86,22.9,9.6
Cameroon,39.41,12.51261546,11.0,2217519.0,5.73,67.2,4.6
Canada,,6.625426609,,1879209.0,19.84,5.1,
Caribbean small states,,15.9089113147263,,,0.494273674938034,18.4313958447572,
Cayman Islands,,,,2124.0,,,
Central African Republic,36.15,16.35473066,18.4,473974.0,,92.2,5.2
Central Europe and the Baltics,,7.13089669087431,,,12.5969116224347,4.71798130017612,
Chad,16.2,,18.2,1798793.0,0.02,101.1,10.4
Chile,,6.83669713,0.5,979814.0,12.02,7.2,0.3
China,20.8,4.973518577,2.4,30646091.0,9.76,6.2,1.9
Colombia,36.67,10.95282506,3.7,3552711.0,11.3,12.0,1.3
Comoros,11.43,23.02724006,9.1,57809.0,,39.8,5.3
Congo Republic,32.86,,,447071.0,,,3.9
"Congo, Dem. Rep.",,10.15699502,25.0,,2.84,73.2,
"Congo, Rep.",,11.92652931,12.3,,2.56,40.5,
Cook Islands,,,,986.0,,,
Costa Rica,25.29,8.716621057,2.9,284207.0,37.71,10.5,2.1
Cote d'Ivoire,23.13,18.28976148,13.6,2313485.0,1.71,67.1,8.1
Croatia,23.5,4.99451209,,86831.0,11.47,4.6,
Cuba,40.65,7.062041879,2.4,260820.0,0.34,8.3,1.7
Curacao,,,,3701.0,2.15,,
Cyprus,,,,38163.0,7.44,3.5,
Czechia,,7.609481314,2.1,279974.0,22.25,2.6,5.0
DR Congo,53.61,,,9686801.0,,,7.2
Denmark,,4.807598298,,158666.0,13.8,3.4,
Djibouti,12.4,,17.7,58065.0,,50.4,12.1
Dominica,,,,1851.0,,35.5,
Dominican Republic,4.56,13.43542101,3.0,511408.0,2.51,31.4,2.1
Early-demographic dividend,,20.3002350670101,,,10.2424315294819,30.3431165282122,
East Asia & Pacific,,8.46759605543549,5.42,,13.2763487908279,14.5,
East Asia & Pacific (IDA & IBRD countries),,8.39800954025458,,,9.7629886027264,15.2744885122753,
East Asia & Pacific (excluding high income),,8.39796338120344,,,9.75827386755475,15.3215491186643,
Ecuador,39.6,10.62690669,4.9,1403735.0,13.2,13.1,0.7
Egypt,39.54,,,6036477.0,,,2.7
"Egypt, Arab Rep.",,,3.7,,2.23,17.5,
El Salvador,46.73,10.22300061,5.0,495945.0,34.15,10.4,1.9
Equatorial Guinea,7.4,,5.6,127442.0,1.75,70.6,0.0
Eritrea,68.7,15.1601429,39.4,233258.0,0.1,35.4,14.7
Estonia,,4.173697894,0.4,34453.0,2.9,2.1,1.6
Eswatini,63.82,10.20161162,5.0,71778.0,2.99,45.0,1.7
Ethiopia,58.81,,21.2,9744620.0,3.15,46.5,11.0
Euro area,,7.29619767581931,,,21.6862163918122,3.63624973445424,
Europe & Central Asia,,7.53319141024027,0.73,,20.8656997739422,8.0,
Europe & Central Asia (IDA & IBRD countries),,7.84863261868516,,,10.6052707953453,11.1244023932449,
Europe & Central Asia (excluding high income),,8.19484927101404,,,15.06,14.4086584909035,
European Union,,7.18797299084741,,,21.1354718320291,3.83208528546125,
Falkland Islands,,,,181.0,,,
Faroe Islands,,,,1851.0,,,
Fiji,39.8,7.401885145,4.6,82656.0,,29.1,4.5
Finland,,4.069185571,,121025.0,35.42,2.3,1.6
Fragile and conflict affected situations,,,,,6.91709656345317,70.2148505989691,
France,,7.428983167,,1737800.0,46.65,4.3,
French Guiana,,,,32909.0,,,
French Polynesia,,,,15091.0,,,
Gabon,5.08,14.64981828,5.4,166738.0,2.57,33.2,1.9
Gambia,53.63,,,193958.0,,,1.4
"Gambia, The",,13.24914954,11.6,,,44.1,
Georgia,20.38,7.420559377,2.1,124942.0,16.92,9.2,0.7
Germany,,6.714126163,0.6,2006612.0,9.15,3.7,0.5
Ghana,42.9,14.41585206,12.0,2143885.0,6.03,37.1,4.1
Gibraltar,,,,1155.0,0.0,,
Greece,,11.40590068,0.5,204822.0,12.22,3.7,1.5
Greenland,,,,4053.0,,,
Grenada,,,,3551.0,,18.3,
Guadeloupe,,,,9746.0,,,
Guam,,,,14782.0,,,
Guatemala,53.24,14.49437989,14.4,1878781.0,5.26,21.4,0.8
Guinea,33.43,,15.0,1114088.0,,95.0,10.1
Guinea-Bissau,59.35,19.54887142,18.8,150757.0,,69.3,7.8
Guyana,21.1,17.16307383,9.4,82916.0,,25.7,6.5
Haiti,39.88,,10.7,624122.0,0.37,55.1,3.1
Heavily indebted poor countries (HIPC),,,,,3.71005681311376,60.6306358101462,
High income,,7.94229232131229,0.81,,16.410199031387,5.0,
Honduras,30.75,13.09450185,7.1,1137837.0,11.23,15.5,0.8
Hong Kong,,,,115377.0,,,
"Hong Kong SAR, China",,,,,0.14,,
Hungary,,8.316534957,,237604.0,21.11,3.8,
IBRD only,,15.8280433492376,,,12.6281942768886,20.6388486603556,
IDA & IBRD total,,15.3939376489939,,,12.8400818345156,39.6437540607825,
IDA blend,,,,,18.71,72.4719020408534,
IDA only,,17.6729771273843,,,4.90083397131666,54.3635599608315,
IDA total,,,,,18.71,60.6170528832606,
Iceland,,3.992822369,,12017.0,88.81,2.6,
India,58.0,27.43525934,31.5,59504265.0,4.12,27.7,18.7
Indonesia,50.67,9.934186169,15.9,11477133.0,11.51,20.6,8.0
Iran,53.1,,,3180817.0,,,3.4
"Iran, Islamic Rep.",,,4.3,,1.14,11.8,
Iraq,25.82,10.8613574,3.9,2850738.0,0.37,22.6,1.9
Ireland,,5.645686692,0.5,150321.0,8.94,3.8,0.4
Isle of Man,,,,1754.0,,,
Israel,,8.983944543,,448983.0,5.44,3.4,
Italy,,7.21055095,,1062731.0,9.95,2.8,
Jamaica,23.78,13.68120587,2.5,84197.0,1.63,19.3,2.3
Japan,,11.30468889,3.4,2122562.0,10.77,2.4,2.4
Jordan,25.4,18.93666383,2.5,594793.0,7.69,13.2,1.7
Kazakhstan,37.77,5.291126034,2.0,1089401.0,1.68,9.6,3.1
Kenya,61.39,9.971119457,9.8,3544074.0,18.67,39.9,4.2
Kiribati,63.59,9.031391662,6.9,16280.999999999998,,55.1,2.2
"Korea, Dem. People's Rep.",,,9.3,,8.5,18.0,
"Korea, Rep.",,7.463083879,0.4,,18.46,2.8,
Kosovo,,,,53251.0,0.519176378508478,9.1,
Kuwait,,14.36604616,2.8,134777.0,0.08,8.8,3.3
Kyrgyz Republic,45.56,6.037714249,2.9,404413.0,22.8,17.0,1.8
Lao PDR,,16.73231578,24.3,,54.17,39.0,
Laos,44.38,,,406553.0,,,12.2
Late-demographic dividend,,6.93555854618097,,,15.177040331854,9.4859784770801,
Latin America & Caribbean,,9.63857656679412,2.74,,13.5225039223214,15.9,
Latin America & Caribbean (excluding high income),,9.69750453379829,,,13.3294358275678,15.6898942523118,
Latin America & the Caribbean (IDA & IBRD countries),,9.66468486110308,,,13.5225039223214,15.9445520792666,
Latvia,,4.232556976,0.3,44980.0,8.79,3.0,1.7
